t	pi	freq
11980000	0.0168555	0.0085
12000000	0.474281	0.6134
12020000	0.003992	0.002
12040000	0.345654	0.2222
12060000	0.00059982	0.0003
12080000	0.189843	0.1062
12100000	0	0
12120000	0.0264409	0.0134
12140000	0.49998	0.5032
12160000	0.326893	0.7942
12180000	0.305062	0.1878
12200000	0.00059982	0.0003
12220000	0	0
12240000	0.00239712	0.0012
12260000	0.054432	0.028
12280000	0.039008	0.9801
12300000	0.383742	0.7411
12320000	0	1
12340000	0.0542432	0.9721
12360000	0	1
12380000	0.482776	0.4072
12400000	0	0
12420000	0.494103	0.4457
12440000	0.0546208	0.0281
12460000	0.122941	0.0658
12480000	0.00259662	0.0013
12500000	0.487675	0.4215
12520000	0	0
12540000	0.068851	0.0357
12560000	0.31988	0.1999
12580000	0.0248825	0.0126
12600000	0.023712	0.012
12620000	0.181279	0.1008
12640000	0	0
12660000	0.199842	0.1126
12680000	0.001998	0.001
12700000	0.135	0.0728
12720000	0.0166589	0.0084
12740000	0	0
12760000	0.0133102	0.0067
12780000	0.0107417	0.0054
12800000	0.437766	0.6764
12820000	0.499641	0.4866
12840000	0.399379	0.7243
12860000	0.442336	0.6698
12880000	0	1
12900000	0.00279608	0.9986
12920000	0.0223446	0.9887
12940000	0.239791	0.8607
12960000	0.34376	0.7795
12980000	0.17486	0.9032
13000000	0.037278	0.981
13020000	0.00419118	0.9979
13040000	0.308914	0.8091
13060000	0.0738509	0.9616
13080000	0.0009995	0.0005
13100000	0.240512	0.1398
13120000	0.00139902	0.9993
13140000	0.44555	0.665
13160000	0	1
13180000	0.0790051	0.9588
13200000	0.0127181	0.9936
13220000	0.274342	0.8359
13240000	0.001998	0.999
13260000	0.00019998	0.9999
13280000	0.136366	0.0736
13300000	0.0819363	0.0428
13320000	0.419118	0.2989
13340000	0.477655	0.3943
13360000	0.067364	0.0349
13380000	0.212566	0.1209
13400000	0.162651	0.0893
13420000	0.0285795	0.0145
13440000	0.0863139	0.0452
13460000	0.497822	0.467
13480000	0	1
13500000	0.00578318	0.9971
13520000	0.0009995	0.9995
13540000	0.363026	0.7617
13560000	0	1
13580000	0.0645689	0.9666
13600000	0.005982	0.997
13620000	0.00319488	0.9984
13640000	0.312606	0.8061
13660000	0	1
13680000	0.0250774	0.9873
13700000	0.063822	0.967
13720000	0.461302	0.3609
13740000	0.302179	0.1855
13760000	0.056883	0.0293
13780000	0.00059982	0.0003
13800000	0.485036	0.4135
13820000	0.417988	0.2975
13840000	0.018427	0.0093
13860000	0.0172486	0.0087
13880000	0.00578318	0.9971
13900000	0.00039992	0.9998
13920000	0	1
13940000	0.0426495	0.9782
13960000	0.351596	0.7724
13980000	0.0131129	0.0066
14000000	0.00179838	0.9991
14020000	0.25191	0.8522
14040000	0.328302	0.207
14060000	0.040543	0.9793
14080000	0.00259662	0.9987
14100000	0.39337	0.2691
14120000	0	0
14140000	0.182874	0.1018
14160000	0.0374704	0.0191
14180000	0.437413	0.3231
14200000	0.303059	0.8138
14220000	0.033422	0.983
14240000	0.050648	0.974
14260000	0.00039992	0.9998
14280000	0.0343875	0.9825
14300000	0.00975198	0.9951
14320000	0.00219758	0.9989
14340000	0.019604	0.9901
14360000	0	1
14380000	0.387852	0.7368
14400000	0.00319488	0.9984
14420000	0.203858	0.8848
14440000	0.0270246	0.9863
14460000	0.0758795	0.9605
14480000	0.111214	0.9409
14500000	0.14417	0.9218
14520000	0.00059982	0.9997
14540000	0.15005	0.9183
14560000	0.030907	0.9843
14580000	0.0264409	0.9866
14600000	0.422145	0.3027
14620000	0.00019998	0.9999
14640000	0	1
14660000	0.251628	0.8524
14680000	0	0
14700000	0.496387	0.5425
14720000	0.0123231	0.0062
14740000	0.066247	0.0343
14760000	0.220547	0.1262
14780000	0	0
14800000	0.0608281	0.0314
14820000	0.468147	0.3738
14840000	0.44335	0.3317
14860000	0.0964387	0.9492
14880000	0.00578318	0.9971
14900000	0.00657822	0.9967
14920000	0.448928	0.6598
14940000	0.152389	0.9169
14960000	0.0140992	0.9929
14980000	0	1
15000000	0.019604	0.9901
15020000	0.499076	0.5215
15040000	0.001998	0.001
15060000	0.0502687	0.0258
15080000	0.33122	0.2095
15100000	0.0307133	0.0156
15120000	0.00019998	0.0001
15140000	0.241088	0.1402
15160000	0.0775357	0.0404
15180000	0.229005	0.1319
15200000	0.307552	0.8102
15220000	0.00159872	0.9992
15240000	0.499442	0.5167
15260000	0.373697	0.7513
15280000	0.061952	0.032
15300000	0.0363155	0.9815
15320000	0.067364	0.9651
15340000	0.0250774	0.9873
15360000	0	1
15380000	0.3746	0.7504
15400000	0.00379278	0.9981
15420000	0.0127181	0.9936
15440000	0.368723	0.7562
15460000	0.00757112	0.9962
15480000	0	1
15500000	0	1
15520000	0	0
15540000	0.076616	0.0399
15560000	0.00618078	0.0031
15580000	0.391794	0.2674
15600000	0.0886755	0.9535
15620000	0	1
15640000	0.0260515	0.9868
15660000	0.0993085	0.9476
15680000	0.237767	0.8621
15700000	0	1
15720000	0	1
15740000	0.498443	0.5279
15760000	0.0152814	0.9923
15780000	0.434623	0.3192
15800000	0.0336152	0.9829
15820000	0.141634	0.9233
15840000	0.488418	0.4239
15860000	0.00079968	0.9996
15880000	0.00059982	0.9997
15900000	0.36334	0.7614
15920000	0.0285795	0.0145
15940000	0.371678	0.7533
15960000	0.499896	0.4928
15980000	0	1
16000000	0	1
16020000	0	0
16040000	0	0
16060000	0.00119928	0.0006
16080000	0.115435	0.0615
16100000	0.0386238	0.0197
16120000	0.496864	0.4604
16140000	0.247097	0.8556
16160000	0.0049875	0.9975
16180000	0.243815	0.8579
16200000	0.0291619	0.9852
16220000	0	1
16240000	0.498364	0.5286
16260000	0.46108	0.6395
16280000	0.00219758	0.0011
16300000	0	0
16320000	0.141634	0.0767
16340000	0.31395	0.195
16360000	0.0426495	0.0218
16380000	0.254299	0.8505
16400000	0.432582	0.6836
16420000	0.452321	0.6544
16440000	0.416032	0.2951
16460000	0.00039992	0.0002
16480000	0.00039992	0.0002
16500000	0.260568	0.154
16520000	0.333074	0.2111
16540000	0.00677688	0.0034
16560000	0.215289	0.8773
16580000	0	1
16600000	0.0901254	0.0473
16620000	0.148878	0.919
16640000	0.0397758	0.9797
16660000	0.157539	0.9138
16680000	0	1
16700000	0.493456	0.5572
16720000	0.0576358	0.0297
16740000	0	0
16760000	0.04894	0.0251
16780000	0.309656	0.1915
16800000	0.173245	0.0958
16820000	0.493479	0.5571
16840000	0.204781	0.1158
16860000	0.0137048	0.0069
16880000	0.496022	0.5446
16900000	0.142142	0.077
16920000	0	0
16940000	0	0
16960000	0	0
16980000	0	0
17000000	0	0
17020000	0.0260515	0.0132
17040000	0.37719	0.2522
17060000	0.0285795	0.0145
17080000	0	0
17100000	0.403464	0.2803
17120000	0.00079968	0.0004
17140000	0.401076	0.2776
17160000	0.409177	0.2869
17180000	0.167561	0.0923
17200000	0	0
17220000	0.00059982	0.0003
17240000	0.00239712	0.0012
17260000	0.406688	0.284
17280000	0.280613	0.1688
17300000	0.191259	0.1071
17320000	0.184623	0.1029
17340000	0.499999	0.4995
17360000	0.449629	0.3413
17380000	0.0915728	0.0481
17400000	0.103772	0.0549
17420000	0.0432232	0.0221
17440000	0.00935582	0.0047
17460000	0.490395	0.4307
17480000	0.478243	0.6043
17500000	0.275282	0.8352
17520000	0	1
17540000	0.358488	0.766
17560000	0.459615	0.6421
17580000	0.0666195	0.9655
17600000	0.478782	0.603
17620000	0	1
17640000	0.129856	0.9302
17660000	0.408921	0.7134
17680000	0.00518648	0.9974
17700000	0.109272	0.942
17720000	0.259043	0.1529
17740000	0	0
17760000	0.00139902	0.0007
17780000	0	0
17800000	0.0103459	0.0052
17820000	0.005982	0.003
17840000	0	0
17860000	0.257374	0.1517
17880000	0.00039992	0.9998
17900000	0.445153	0.6656
17920000	0.161335	0.0885
17940000	0.191102	0.893
17960000	0.00059982	0.9997
17980000	0	1
18000000	0	1
18020000	0.189528	0.894
18040000	0.356994	0.7674
18060000	0	1
18080000	0.360925	0.7637
18100000	0.00159872	0.9992
18120000	0.41521	0.7059
18140000	0.0148875	0.9925
18160000	0	1
18180000	0.035352	0.982
18200000	0.116137	0.9381
18220000	0.43346	0.3176
18240000	0.449565	0.3412
18260000	0.0168555	0.0085
18280000	0.0993085	0.0524
18300000	0.00219758	0.0011
18320000	0.100203	0.9471
18340000	0.377289	0.7477
18360000	0.00019998	0.9999
18380000	0.0341945	0.9826
18400000	0.166746	0.9082
18420000	0.0686653	0.9644
18440000	0	1
18460000	0.36749	0.2426
18480000	0	0
18500000	0.058012	0.0299
18520000	0.00319488	0.0016
18540000	0.00279608	0.0014
18560000	0.0738509	0.0384
18580000	0.00259662	0.0013
18600000	0.0324555	0.0165
18620000	0	0
18640000	0.0186233	0.0094
18660000	0.00059982	0.0003
18680000	0.0407347	0.0208
18700000	0.00995	0.005
18720000	0.00079968	0.0004
18740000	0.00419118	0.0021
18760000	0.0152814	0.0077
18780000	0.262502	0.1554
18800000	0.021758	0.011
18820000	0.298768	0.1828
18840000	0.309656	0.8085
18860000	0.0382395	0.9805
18880000	0	1
18900000	0	1
18920000	0.00717408	0.9964
18940000	0.00339422	0.9983
18960000	0.065688	0.966
18980000	0.0495097	0.9746
19000000	0.078087	0.9593
19020000	0.0958995	0.9495
19040000	0.00019998	0.9999
19060000	0.0009995	0.9995
19080000	0	1
19100000	0.231942	0.8661
19120000	0.49504	0.4502
19140000	0	0
19160000	0.00119928	0.0006
19180000	0	0
19200000	0.0343875	0.0175
19220000	0.0009995	0.0005
19240000	0.00239712	0.0012
19260000	0.13943	0.9246
19280000	0.087223	0.9543
19300000	0.00915768	0.9954
19320000	0.00139902	0.9993
19340000	0.499692	0.4876
19360000	0.483583	0.4094
19380000	0.00478848	0.0024
19400000	0	0
19420000	0.00059982	0.0003
19440000	0.00079968	0.0004
19460000	0.00618078	0.0031
19480000	0	0
19500000	0.00776958	0.0039
19520000	0.073112	0.038
19540000	0.0188195	0.0095
19560000	0.0194079	0.0098
19580000	0	0
19600000	0.0229309	0.0116
19620000	0.20754	0.1176
19640000	0.16462	0.0905
19660000	0.00079968	0.0004
19680000	0.011335	0.0057
19700000	0.00079968	0.0004
19720000	0	0
19740000	0.0679219	0.0352
19760000	0	0
19780000	0.0355448	0.9819
19800000	0	1
19820000	0.087768	0.954
19840000	0.00079968	0.9996
19860000	0.00578318	0.9971
19880000	0.00757112	0.9962
19900000	0.00518648	0.9974
19920000	0	1
19940000	0	1
19960000	0.0127181	0.9936
19980000	0	1
20000000	0.00975198	0.9951
20020000	0.160512	0.912
20040000	0	0
20060000	0.0912112	0.0479
20080000	0	0
20100000	0.0318751	0.0162
20120000	0.030907	0.0157
20140000	0.18048	0.1003
20160000	0.0504584	0.0259
20180000	0.00439032	0.0022
20200000	0.0457049	0.0234
20220000	0.00119928	0.0006
20240000	0.00538542	0.0027
20260000	0.0476093	0.0244
20280000	0.0647555	0.0335
20300000	0.490615	0.5685
20320000	0.200926	0.8867
20340000	0.213778	0.8783
20360000	0.10697	0.9433
20380000	0.336522	0.7859
20400000	0.0636352	0.9671
20420000	0	1
20440000	0.0192118	0.9903
20460000	0.244387	0.8575
