t	pi	freq
32775	0.00039992	0.0002
32800	0	0
32825	0	0
32850	0	0
32875	0	0
32900	0.00059982	0.0003
32925	0.00079968	0.0004
32950	0	0
32975	0	0
33000	0	0
33025	0.00159872	0.0008
33050	0	0
33075	0	0
33100	0	0
33125	0.00019998	0.0001
33150	0	0
33175	0	0
33200	0.00019998	0.0001
33225	0.00059982	0.0003
33250	0.00039992	0.0002
33275	0	0
33300	0.00059982	0.0003
33325	0	0
33350	0	0
33375	0.00079968	0.0004
33400	0.00079968	0.0004
33425	0	0
33450	0.00219758	0.0011
33475	0.00079968	0.0004
33500	0	0
33525	0	0
33550	0.00019998	0.0001
33575	0	0
33600	0	0
33625	0	0
33650	0.00019998	0.0001
33675	0	0
33700	0.00019998	0.0001
33725	0	0
33750	0	0
33775	0	0
33800	0	0
33825	0.00019998	0.0001
33850	0	0
33875	0	0
33900	0	0
33925	0.00019998	0.0001
33950	0.00019998	0.0001
33975	0	0
34000	0.00019998	0.0001
34025	0.00079968	0.0004
34050	0.00059982	0.0003
34075	0.00059982	0.0003
34100	0	0
34125	0.00019998	0.0001
34150	0	0
34175	0	0
34200	0.00019998	0.0001
34225	0	0
34250	0	0
34275	0	0
34300	0.00039992	0.0002
34325	0	0
34350	0.00079968	0.0004
34375	0.0009995	0.0005
34400	0	0
34425	0.00019998	0.0001
34450	0	0
34475	0	0
34500	0	0
34525	0.001998	0.001
34550	0	0
34575	0	0
34600	0.00119928	0.0006
34625	0	0
34650	0.00139902	0.0007
34675	0	0
34700	0	0
34725	0	0
34750	0	0
34775	0	0
34800	0.00019998	0.0001
34825	0	0
34850	0	0
34875	0	0
34900	0	0
34925	0.00039992	0.0002
34950	0.00039992	0.0002
34975	0.00079968	0.0004
35000	0.00019998	0.0001
35025	0.00019998	0.0001
35050	0	0
35075	0	0
35100	0	0
35125	0	0
35150	0	0
35175	0	0
35200	0	0
35225	0	0
35250	0.00059982	0.0003
35275	0	0
35300	0	0
35325	0	0
35350	0.00059982	0.0003
35375	0.00079968	0.0004
35400	0.00019998	0.0001
35425	0	0
35450	0	0
35475	0	0
35500	0	0
35525	0	0
35550	0	0
35575	0	0
35600	0	0
35625	0.00039992	0.0002
35650	0.00059982	0.0003
35675	0	0
35700	0.00139902	0.0007
35725	0	0
35750	0	0
35775	0	0
35800	0.00039992	0.0002
35825	0.00119928	0.0006
35850	0.0009995	0.0005
35875	0	0
35900	0	0
35925	0.00039992	0.0002
35950	0	0
35975	0.00039992	0.0002
36000	0	0
36025	0	0
36050	0.00079968	0.0004
36075	0.00019998	0.0001
36100	0	0
36125	0.00079968	0.0004
36150	0	0
36175	0	0
36200	0	0
36225	0	0
36250	0	0
36275	0	0
36300	0.00039992	0.0002
36325	0	0
36350	0	0
36375	0	0
36400	0.00159872	0.0008
36425	0	0
36450	0	0
36475	0.00079968	0.0004
36500	0	0
36525	0.00039992	0.0002
36550	0.00019998	0.0001
36575	0	0
36600	0	0
36625	0.00019998	0.0001
36650	0	0
36675	0	0
36700	0.00039992	0.0002
36725	0	0
36750	0	0
36775	0.00159872	0.0008
36800	0.00019998	0.0001
36825	0	0
36850	0	0
36875	0	0
36900	0	0
36925	0.00039992	0.0002
36950	0	0
36975	0	0
37000	0	0
37025	0	0
37050	0.00039992	0.0002
37075	0.00039992	0.0002
37100	0.00079968	0.0004
37125	0.00079968	0.0004
37150	0.00019998	0.0001
37175	0	0
37200	0.00119928	0.0006
37225	0	0
37250	0	0
37275	0	0
37300	0.00039992	0.0002
37325	0.00019998	0.0001
37350	0	0
37375	0.00039992	0.0002
37400	0	0
37425	0	0
37450	0.00019998	0.0001
37475	0	0
37500	0	0
37525	0.00019998	0.0001
37550	0	0
37575	0.00039992	0.0002
37600	0	0
37625	0	0
